,ResponseId,frame,scenario_mapped,option_selected,rating,rating_num,rationale,age,age_grouped,gender,gender_grouped,ethnicity,ethnicity_grouped,education,continent_grouped,ADP_familiar,student,scenario_clean,option_selected_B,option_selected_A,frame_gain,frame_loss,scenario_clean_cat,reversed_rating_num,scenario_clean2,scenario_clean3,scenario_for,scenario_an,scenario_hum,ADP_No,ADP_Yes
240,R_Cde7RYEFQdAx6hP,Gain,forest_gain,Proposal B,6: Preference for Proposal B,6,Stop cutting down trees and protect the ecology,55 - 64 years old,35+,Male,Male,Black/African/Caribbean,Black/African/Caribbean,Bachelor's degree,North America,Yes,No,forest,1,0,1,0,1,2,forest,forest,0,2,1,Yes,Yes
241,R_6fd9tsmwPyIysbT,Gain,animals_gain,Proposal A,3: Slight Preference for Propsal A,3,It's not a game. You can't re-choose,25 - 34 years old,25 - 34 years old,Male,Male,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,Yes,Yes,animals,0,1,1,0,0,5,animals,animals,1,0,2,Yes,Yes
242,R_2cCtVXePJFIA5lf,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,Because 300 of them must have survived.,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,humans,0,1,1,0,2,6,humans,humans,2,1,0,Yes,Yes
243,R_3hm8fz6HM9Lw5SH,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,not sure,25 - 34 years old,25 - 34 years old,Prefer to self-describe,Other / Prefer not to say,Asian,Asian,Bachelor's degree,Other / Not Provided,No,No,humans,0,1,1,0,2,6,humans,humans,2,1,0,No,No
244,R_2s585oyKetT2ac0,Loss,humans_loss,Proposal A,2: Preference for Proposal A,2,wu,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,humans,0,1,0,1,2,6,humans,humans,2,1,0,Yes,Yes
245,R_2fjKjRcMttjw7KD,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,"I do not like taking chances, and 300 trees is definitly better than having a preservation area be totally extinguished.",18 - 24 years old,18 - 24 years old,Prefer to self-describe,Other / Prefer not to say,White or Caucasian,White or Caucasian,Associates or technical degree,Other / Not Provided,No,Yes,forest,0,1,1,0,1,6,forest,forest,0,2,1,No,No
246,R_1ovbY5ShajGVi9o,Loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,"I hate both choices, but at least with A there is certainty that some will survive",35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,animals,0,1,0,1,0,5,animals,animals,1,0,2,No,No
247,R_1LU5BQ7or6DkZ9Z,Loss,humans_loss,Proposal A,4: No Preference for Proposal A or B,4,A more conservative proposal that prefers Proposition A would directly protect the number,18 - 24 years old,18 - 24 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,Yes,humans,0,1,0,1,2,4,humans,humans,2,1,0,Yes,Yes
249,R_abkjcxcufxdKlpv,Loss,animals_loss,Proposal B,6: Preference for Proposal B,6,"Personally, I prefer to be conservative",25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,Yes,No,animals,1,0,0,1,0,2,animals,animals,1,0,2,Yes,Yes
250,R_d5vnphOspIjgf3r,Gain,animals_gain,Proposal B,6: Preference for Proposal B,6,I am willing take risk and try hard to do the greatest good,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,animals,1,0,1,0,0,2,animals,animals,1,0,2,No,No
251,R_rfJo8DPbJHl0kal,Loss,forest_loss,Proposal A,2: Preference for Proposal A,2,Not risk that 900 trees are gone,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,Yes,forest,0,1,0,1,1,6,forest,forest,0,2,1,No,No
252,R_30o88IRxEvybg7E,Gain,animals_gain,Proposal A,2: Preference for Proposal A,2,"I feel that confirmed saving 300 animals is better than all or nothing situation, especially as it is more likely in proposal B that none will survive, I would rather save 300/900 over none",18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,Yes,animals,0,1,1,0,0,6,animals,animals,1,0,2,No,No
253,R_sAW4Pwpgxshzs9H,Gain,humans_gain,Proposal A,1: Strong Preference for Proposal A,1,Many animals saved,25 - 34 years old,25 - 34 years old,Male,Male,Black/African/Caribbean,Black/African/Caribbean,Bachelor's degree,North America,Yes,No,humans,0,1,1,0,2,7,humans,humans,2,1,0,Yes,Yes
254,R_3DtBXlp5NiM2dA5,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,"Better not risk it, so I choose the safer option",18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,Yes,forest,0,1,1,0,1,6,forest,forest,0,2,1,No,No
256,R_2WYYEcCNcFSmCk2,Gain,forest_gain,Proposal A,1: Strong Preference for Proposal A,1,I believe that green cover should be protected at all costs,25 - 34 years old,25 - 34 years old,Male,Male,Black/African/Caribbean,Black/African/Caribbean,Bachelor's degree,Europe,No,Yes,forest,0,1,1,0,1,7,forest,forest,0,2,1,No,No
263,R_qPIxCrxSdJwB4Nr,Gain,animals_gain,Proposal B,7: Strong Preference for Proposal B,7,1/3 probability that all 900 marine animals can surviveOnly those with a high probability of survival can be selected,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Associates or technical degree,North America,No,No,animals,1,0,1,0,0,1,animals,animals,1,0,2,No,No
273,R_31FM6IC6hEtuAia,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,"I don't know how to articulate this very well so hope it makes sense. If either option were repeated over and over across different civilizations, an average of 300 people per civilization would survive either way. So they feel like the same thing to me really, but just with more variability in the individual outcomes of option B. So I'd rather go with the stable option. Plus, if I actually ran this town, I would not want to entertain the possibility of nobody remaining - then the town is straight up gone. And I don't think it'd be a popular decision to roll the dice on the unlikely outcome that not everybody dies. That doesn't seem like a good leader decision.",25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,No,No,humans,0,1,1,0,2,6,humans,humans,2,1,0,No,No
274,R_tE8OQnrl4Yvqug9,Loss,forest_loss,Proposal A,3: Slight Preference for Propsal A,3,"I would prefer to some of the trees, there is a higher chance with proposal B that all trees will be destroyed",45 - 54 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,Yes,forest,0,1,0,1,1,5,forest,forest,0,2,1,No,No
324,R_2atpyTHl7xnRShn,Loss,humans_loss,Proposal B,6: Preference for Proposal B,6,If successful no one will die,25 - 34 years old,25 - 34 years old,Male,Male,"White or Caucasian,Asian",Not Provided/Other,Completed high school / secondary school,North America,No,No,humans,1,0,0,1,2,2,humans,humans,2,1,0,No,No
325,R_1ou0XH0GWBOTZ0R,Gain,animals_gain,Proposal B,5: Slight Preference for Proposal B,5,"I´d like to be a ""cautious"" optimist when considering this, and I do mot want to think of inevitable death of animals.",25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,No,animals,1,0,1,0,0,3,animals,animals,1,0,2,No,No
329,R_2BznsbcQZRn2mHa,Loss,humans_loss,Proposal B,5: Slight Preference for Proposal B,5,There’s a chance no one will die ,25 - 34 years old,25 - 34 years old,Female,Female,Asian,Asian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,No,No,humans,1,0,0,1,2,3,humans,humans,2,1,0,No,No
333,R_3Hho9bz02e1v6PL,Gain,forest_gain,Proposal B,7: Strong Preference for Proposal B,7,保护的树多,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Asia,No,No,forest,1,0,1,0,1,1,forest,forest,0,2,1,No,No
337,R_1GAZ8gZUrMbdQZK,Gain,humans_gain,Proposal A,4: No Preference for Proposal A or B,4,Both options are detrimental.,25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",Europe,No,No,humans,0,1,1,0,2,4,humans,humans,2,1,0,No,No
338,R_1nNK4MfZqayKCWr,Loss,animals_loss,Proposal A,3: Slight Preference for Propsal A,3,I feel like there is less than a chance that more animals will die,35 - 44 years old,35+,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,animals,0,1,0,1,0,5,animals,animals,1,0,2,No,No
339,R_2bZXLKenmnu7iw4,Gain,forest_gain,Proposal A,2: Preference for Proposal A,2,option A seems the most logical because we’re not playing with chances the same way we would if we chose option B,18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Completed high school / secondary school,Asia,Yes,Yes,forest,0,1,1,0,1,6,forest,forest,0,2,1,Yes,Yes
340,R_elBs97LrLcIYbUB,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,Proposal B has a chance that all the animals will be saved (and 33% isn't necessarily impossible). ,18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Completed high school / secondary school,North America,No,Yes,animals,1,0,0,1,0,3,animals,animals,1,0,2,No,No
341,R_sclCGxrCeSHFhcJ,Gain,humans_gain,Proposal A,3: Slight Preference for Propsal A,3,2/3 is too much of a risk,18 - 24 years old,18 - 24 years old,Female,Female,Asian,Asian,Bachelor's degree,Asia,No,Yes,humans,0,1,1,0,2,5,humans,humans,2,1,0,No,No
342,R_3fB2DCgzKTT2mbg,Loss,forest_loss,Proposal A,2: Preference for Proposal A,2,"More important to have trees. Proposal A ensures that at least some trees will be conserved whereas Proposal B does not have a sure outcome that any trees will be saved (33% for all trees and 66% for no trees). If my job is to ensure that trees are conserved, I should go with what I know is a sure thing.",25 - 34 years old,25 - 34 years old,Female,Female,White or Caucasian,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PHd, JD, MD, etc.)",North America,Yes,Yes,forest,0,1,0,1,1,6,forest,forest,0,2,1,Yes,Yes
343,R_1AqFeOFzUfxsg1P,Loss,humans_loss,Proposal A,3: Slight Preference for Propsal A,3,Both choices suck but a 67% chance of everyone dying is way too risky,18 - 24 years old,18 - 24 years old,Male,Male,White or Caucasian,White or Caucasian,Completed high school / secondary school,Europe,No,Yes,humans,0,1,0,1,2,5,humans,humans,2,1,0,No,No
344,R_5dWAM1QghlUURhL,Gain,humans_gain,Proposal A,2: Preference for Proposal A,2,Potential to lose everyone with option B,45 - 54 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,humans,0,1,1,0,2,6,humans,humans,2,1,0,No,No
345,R_77BQgA9StONTl3r,Loss,animals_loss,Proposal B,5: Slight Preference for Proposal B,5,The 1/3 chance of total survival is better than a guaranteed 2/3 death rate.,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,North America,No,No,animals,1,0,0,1,0,3,animals,animals,1,0,2,No,No
346,R_2q8JuwjPyYbfC74,Gain,animals_gain,Proposal A,1: Strong Preference for Proposal A,1,option B has a very high chance of no survival and saving some would be better than likely saving none.,18 - 24 years old,18 - 24 years old,Male,Male,Asian,Asian,Bachelor's degree,Europe,No,No,animals,0,1,1,0,0,7,animals,animals,1,0,2,No,No
347,R_31HQvAifrhUcS3z,Gain,forest_gain,Proposal A,4: No Preference for Proposal A or B,4,"With A you are on the safe side, though B has better potential payoff.",35 - 44 years old,35+,Male,Male,White or Caucasian,White or Caucasian,Associates or technical degree,Europe,No,No,forest,0,1,1,0,1,4,forest,forest,0,2,1,No,No
348,R_1jwtUBz1pnspTwu,Loss,forest_loss,Proposal A,4: No Preference for Proposal A or B,4,same expected value,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,No,forest,0,1,0,1,1,4,forest,forest,0,2,1,No,No
349,R_DdiAXLsg1mTwJfX,Gain,humans_gain,Proposal B,5: Slight Preference for Proposal B,5,Because you hopefully save 600 more which is double 300,18 - 24 years old,18 - 24 years old,Female,Female,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,No,Yes,humans,1,0,1,0,2,3,humans,humans,2,1,0,No,No
350,R_1YV1m7FDQGp7aUN,Gain,animals_gain,Proposal A,1: Strong Preference for Proposal A,1,,25 - 34 years old,25 - 34 years old,Male,Male,White or Caucasian,White or Caucasian,Bachelor's degree,Europe,Yes,No,animals,0,1,1,0,0,7,animals,animals,1,0,2,Yes,Yes
